"location_id","location_type__001","location_type__002","location_type__003","location_type__004","open_soon","latitude","longitude"
"changshafvsupercharger","supercharger","standard charger","","","0","28.3479870000","112.9795300000"
"changshahopeskyhotelsupercharger","supercharger","standard charger","","","0","28.1126370000","112.9957250000"
"shenyanghuafusupercharger","supercharger","standard charger","","","0","41.8113840000","123.4366100000"
"dalianfishermanswharfsupercharger","supercharger","standard charger","","","0","38.8763900000","121.6857100000"
"shenzhenbaysupercharger","supercharger","standard charger","","","0","22.5197150000","113.9500880000"
"missoulasupercharger","supercharger","standard charger","","","0","46.9143750000","-114.0319240000"
"hengersbergsupercharger","supercharger","standard charger","","","0","48.7654840000","13.0466550000"
"indianapolissupercharger","supercharger","standard charger","","","0","39.7022380000","-86.0795900000"
"dc232","destination charger","","","","0","39.2408830000","-120.0565400000"
"dc282","destination charger","","","","0","39.6419040000","-106.3731180000"
"dc681","destination charger","","","","0","39.1888210000","-106.8211680000"
"dc2167","destination charger","","","","0","43.0367000000","-88.1922080000"
"dc1202","destination charger","","","","0","38.5042170000","-122.7701790000"
"dc1830","destination charger","","","","0","40.7138700000","-74.0413800000"
"dc1454","destination charger","","","","0","35.2292950000","-82.3352680000"
"dc974","destination charger","","","","0","33.9460820000","-118.3842664000"
"dc1153","destination charger","","","","0","38.4024690000","-122.3611040000"
"dc675","destination charger","","","","0","39.3154958000","-123.7992050000"
"dc2266","destination charger","","","","0","32.8802400000","-96.7685680000"
"elverumsupercharger","supercharger","standard charger","","","0","60.8841730000","11.5408020000"
"setermoensupercharger","supercharger","standard charger","","","0","68.8600640000","18.3466260000"
"genevacoursderive","store","","","","0","46.2011615000","6.1535129000"
"ocalasupercharger","supercharger","standard charger","","","0","29.1409810000","-82.1939380000"
"saintessupercharger","supercharger","standard charger","","","0","45.7500120000","-0.6617250000"
"denversupercharger","supercharger","standard charger","","","0","39.7751200000","-104.7946480000"
"wernbergkoblitzsupercharger","supercharger","standard charger","","","0","49.5326939000","12.1348611000"
"countryclubhillssupercharger","supercharger","standard charger","","","0","41.5852060000","-87.7211140000"
"salisburysupercharger","supercharger","standard charger","","","0","38.4016000000","-75.5648900000"
"lauenausupercharger","supercharger","standard charger","","","0","52.2789960000","9.3508400000"
"leegardenssupercharger","supercharger","standard charger","","","0","22.2785270000","114.1848580000"
"tokyokotokusupercharger","supercharger","standard charger","","","0","35.6176420000","139.7769120000"
"wuxinanchangsupercharger","supercharger","standard charger","","","0","31.5542010000","120.3092140000"
"innhavetsupercharger","supercharger","standard charger","","","0","67.9624270000","15.9295260000"
"dc531","destination charger","","","","0","46.8162360000","-71.2034310000"
"dc532","destination charger","","","","0","43.6456310000","-79.3908570000"
"dc534","destination charger","","","","0","45.5026380000","-73.5742510000"
"dc752","destination charger","","","","0","46.7688820000","-71.2870550000"
"dc753","destination charger","","","","0","45.4407690000","-73.4391850000"
"dc1179","destination charger","","","","0","45.4928052000","-73.5570462000"
"dc204","destination charger","","","","0","34.6153710000","-83.7019700000"
"dc544","destination charger","","","","0","44.3035710000","-74.3302780000"
"dc1813","destination charger","","","","0","33.7952160000","-116.5015110000"
"dc1131","destination charger","","","","0","42.7052817000","-73.1906598000"
"dc413","destination charger","","","","0","33.7866470000","-84.3855330000"
"dc641","destination charger","","","","0","40.8043210000","-74.2376430000"
"dc1669","destination charger","","","","0","37.6026450000","-122.3710000000"
"dc2356","destination charger","","","","0","39.5278800000","-119.8137540000"
"dc1637","destination charger","","","","0","44.5192603000","-85.9906554000"
"paramusroute17","store","service","supercharger","standard charger","0","40.9574790000","-74.0741910000"
"daytonsupercharger","supercharger","standard charger","","","0","39.8587020000","-84.2770270000"
"shenzhenfutiansupercharger","supercharger","standard charger","","","0","22.5186720000","114.0737360000"
"xiangaoxin","store","service","","","0","34.2000065000","108.9176548000"
"gavlesupercharger","supercharger","standard charger","","","0","60.6484370000","17.1203920000"
