"location_id","location_type__001","location_type__002","location_type__003","open_soon","latitude","longitude"
"dc9937","destination charger","standard charger","","0","47.0524970000","10.6515190000"
"dc12686","destination charger","standard charger","","0","51.1504810000","4.4328060000"
"dc13241","destination charger","standard charger","","0","46.6225820000","9.1813250000"
"dc13969","destination charger","standard charger","","0","43.0968010000","-0.0535350000"
"dc13974","destination charger","standard charger","","0","44.5423620000","6.4787330000"
"dc14163","destination charger","standard charger","","0","52.5036880000","13.3804870000"
"dc16672","destination charger","standard charger","","0","63.2992080000","9.8448650000"
"dc17332","destination charger","standard charger","","0","43.2371620000","11.4802660000"
"dc18827","destination charger","standard charger","","0","49.1848130000","-0.3561980000"
"dc1795","destination charger","","","0","34.4085460000","-119.6936170000"
"dc13099","destination charger","","","0","35.1424090000","-90.0519980000"
"dc13922","destination charger","","","0","45.1857780000","-109.2468210000"
"dc17452","destination charger","","","0","25.6661800000","-100.3137280000"
"dc13609","destination charger","","","0","32.8391680000","-116.7776350000"
"dc13438","destination charger","","","0","31.8657130000","-116.6624850000"
"dc15176","destination charger","","","0","30.3764090000","-89.4494150000"
"dc13514","destination charger","","","0","28.3675970000","-80.6032050000"
"dc17094","destination charger","","","0","48.1993650000","-114.3152730000"
"dc12960","destination charger","","","0","41.3852160000","-73.9167110000"
"dc1063","destination charger","","","0","38.5776272000","-121.4907685000"
"dc15534","destination charger","","","0","41.5226400000","-87.4268780000"
"dc17455","destination charger","","","0","19.2149820000","-100.1588050000"
"dc13297","destination charger","","","0","37.3478180000","-77.3441700000"
"dc14368","destination charger","","","0","45.1098320000","-72.8560950000"
"dc18020","destination charger","","","0","19.1633550000","-100.1235420000"
"dc18911","destination charger","","","0","32.7858310000","-96.8019450000"
"dc13324","destination charger","","","0","26.3146790000","-80.0759930000"
"dc17140","destination charger","","","0","34.2715690000","134.6644710000"
"dc15835","standard charger","destination charger","","0","22.1470387000","113.5598477000"
"dc11109","destination charger","","","0","39.9075060000","116.4568310000"
"dc11105","destination charger","","","0","37.4684330000","121.4326410000"
"dc11102","destination charger","","","0","39.9913350000","116.2026990000"
"dc11107","destination charger","","","0","33.0773610000","107.0499500000"
"dc11115","destination charger","","","0","27.8119290000","102.2899800000"
"dc11110","destination charger","","","0","22.9774840000","113.3529920000"
"dc11096","destination charger","","","0","31.2453850000","121.4931670000"
"dc11098","destination charger","","","0","31.5483860000","121.1747580000"
