"location_id","location_type__001","location_type__002","location_type__003","open_soon","latitude","longitude"
"dc31170","destination charger","standard charger","","0","46.9546100000","11.0151020000"
"dc13886","destination charger","standard charger","","0","49.4240400000","0.2247100000"
"dc15174","destination charger","standard charger","","0","40.6240470000","14.3524320000"
"dc21730","destination charger","standard charger","","0","46.1753860000","6.7075230000"
"dc22219","destination charger","standard charger","","0","45.2851190000","6.8854050000"
"dc22559","destination charger","standard charger","","0","45.8266490000","7.8233680000"
"dc24784","destination charger","standard charger","","0","44.5612110000","4.2861820000"
"dc26219","destination charger","standard charger","","0","42.8558850000","1.5888860000"
"dc27420","destination charger","standard charger","","0","46.4649320000","10.3666220000"
"dc27678","destination charger","standard charger","","0","44.4590710000","6.0370270000"
"dc13454","destination charger","standard charger","","0","43.7576590000","11.2985440000"
"dc16987","destination charger","standard charger","","0","36.5097070000","-4.9797490000"
"dc20396","destination charger","standard charger","","0","54.4175000000","-3.4309000000"
"dc24887","destination charger","standard charger","","0","43.5514400000","7.0301880000"
"dc29103","destination charger","standard charger","","0","45.7390780000","4.8148600000"
"wuhaneurasianhotelsupercharger","supercharger","standard charger","","0","30.6394282300","114.2060861000"
"ningboheyiroad","store","","","0","29.8734200000","121.5558270000"
"dc33009","destination charger","standard charger","","0","24.6796710000","121.7420000000"
"dc33010","destination charger","standard charger","","0","25.0331600000","121.5620070000"
"dc28398","destination charger","","","0","44.1776756000","-70.9050409000"
"dc30800","destination charger","","","0","40.7484170000","-73.9941210000"
"dc20448","destination charger","","","0","40.7530490000","-74.0033330000"
"dc20961","destination charger","","","0","40.7456030000","-73.9818500000"
"dc29055","destination charger","","","0","40.7710800000","-73.9931420000"
"dc2837","destination charger","","","0","40.7622340000","-73.9790360000"
"dc33196","destination charger","","","0","40.7667080000","-73.9554830000"
"dc32553","destination charger","","","0","40.7651080000","-73.9633890000"
"dc33187","destination charger","","","0","40.7913600000","-73.9521550000"
"dc33190","destination charger","","","0","40.7111450000","-74.0163320000"
"dc28866","destination charger","","","0","40.7077380000","-74.0168450000"
"dc26943","destination charger","","","0","42.9109160000","-77.7358019000"
"dc20660","destination charger","","","0","39.8632110000","-77.0585920000"
"dc16919","destination charger","","","0","41.3540270000","-74.7185220000"
"dc23259","destination charger","","","0","38.9019370000","-77.0262510000"
"dc28284","destination charger","","","0","38.9912290000","-77.0958930000"
"dc23138","destination charger","","","0","38.9663270000","-76.2408750000"
"dc285","destination charger","","","0","38.5920570000","-78.3810800000"
"dc21916","destination charger","","","0","38.0484600000","-78.5420750000"
"dc21337","destination charger","","","0","37.3059110000","-77.2864600000"
"dc19474","destination charger","","","0","36.9748290000","-77.3940070000"
"dc23455","destination charger","","","0","37.5324000000","-80.9940000000"
"dc23451","destination charger","","","0","39.1081190000","-79.4968890000"
"dc25992","destination charger","","","0","34.6883330000","-82.8252910000"
"dc21453","destination charger","","","0","34.9366440000","-80.9651650000"
"dc26615","destination charger","","","0","32.1543180000","-80.7318410000"
"dc20317","destination charger","","","0","32.1973380000","-80.6979800000"
"dc20398","destination charger","","","0","33.9916040000","-84.0850830000"
"dc763","destination charger","","","0","28.4691950000","-81.4668600000"
"dc26484","destination charger","","","0","28.4663190000","-81.4705290000"
"dc22713","destination charger","","","0","28.3871400000","-81.5000080000"
"dc17572","destination charger","","","0","26.2613310000","-80.2649530000"
"dc2148","destination charger","","","0","25.8888500000","-80.1231590000"
"dc15151","destination charger","","","0","26.0722450000","-80.1395000000"
"dc12296","destination charger","","","0","26.2819270000","-81.8002680000"
"dc32507","destination charger","","","0","34.8064934000","-87.6782579000"
"dc32509","destination charger","","","0","34.8087580000","-87.6801530000"
"dc24895","destination charger","","","0","33.9989130000","-86.0882650000"
"dc26269","destination charger","","","0","35.2037400000","-89.7751310000"
"dc25689","destination charger","","","0","30.3922530000","-88.9898270000"
"dc28669","destination charger","","","0","38.2576600000","-85.7626650000"
"dc15387","destination charger","","","0","39.0836580000","-84.5097690000"
"dc30200","destination charger","","","0","39.9587980000","-82.9947430000"
"dc28664","destination charger","","","0","40.1411790000","-82.9676230000"
"dc25471","destination charger","","","0","43.8508030000","-69.6303980000"
"dc24279","destination charger","","","0","42.4128520000","-86.2724600000"
"dc29183","destination charger","","","0","42.9649665000","-85.6735705000"
"dc18491","destination charger","","","0","45.3689970000","-85.0156960000"
"dc3975","destination charger","","","0","44.8776450000","-93.3220560000"
"dc20520","destination charger","","","0","46.3551840000","-94.7826430000"
"dc31565","destination charger","","","0","25.6517320000","-100.2653200000"
"dc28085","destination charger","","","0","34.5806529000","-92.5819311000"
"dc28082","destination charger","","","0","34.7981864000","-92.2204068000"
"dc28081","destination charger","","","0","34.8255980000","-92.1939038000"
"dc27781","destination charger","","","0","35.4449320000","-97.4198010000"
"dc33077","destination charger","","","0","20.2044190000","-99.9999200000"
"dc27171","destination charger","","","0","29.7818400000","-95.5595490000"
"dc3429","destination charger","","","0","29.2724000000","-94.8183990000"
"dc11819","destination charger","","","0","29.2702300000","-94.8214730000"
"dc14742","destination charger","","","0","29.4307960000","-98.4898540000"
"dc29190","destination charger","","","0","22.1248890000","-100.9167330000"
"dc29614","destination charger","","","0","37.2108890000","-113.2687610000"
"dc30509","destination charger","","","0","33.3829570000","-111.7187830000"
"dc24038","destination charger","","","0","33.3049770000","-111.9051850000"
"dc12484","destination charger","","","0","33.4259440000","-111.9388370000"
"dc15852","destination charger","","","0","34.8664080000","-111.7747690000"
"dc22495","destination charger","","","0","36.1027670000","-115.1699940000"
"dc28341","destination charger","","","0","34.1357630000","-118.3529670000"
"dc26033","destination charger","","","0","33.8322540000","-118.0792180000"
