"location_id","location_type__001","location_type__002","open_soon","latitude","longitude"
"dc18298","destination charger","standard charger","0","48.1591370000","14.0227160000"
"dc20558","destination charger","standard charger","0","50.2323810000","7.5853300000"
"dc24459","destination charger","standard charger","0","46.7756330000","10.1539310000"
"dc24461","destination charger","standard charger","0","52.6491290000","0.6871130000"
"dc10792","destination charger","standard charger","0","43.2318900000","6.6585130000"
"dc23339","destination charger","standard charger","0","43.5111540000","6.5697230000"
"dc13456","destination charger","standard charger","0","57.4890450000","12.0779410000"
"dc18747","destination charger","standard charger","0","44.4146510000","4.2748610000"
"dc19130","destination charger","standard charger","0","45.0075610000","13.7449380000"
"dc22250","destination charger","standard charger","0","48.8709090000","2.2791950000"
"dc28049","destination charger","standard charger","0","45.5544460000","8.6407160000"
"dc28395","destination charger","standard charger","0","60.4547390000","21.9527080000"
"dc30433","destination charger","standard charger","0","59.1725320000","17.5266340000"
"dc31030","destination charger","standard charger","0","43.8902570000","8.0402490000"
"dc15308","destination charger","standard charger","0","50.2746610000","9.1080350000"
"dc16516","destination charger","standard charger","0","47.6783500000","12.0358100000"
"dc22819","destination charger","standard charger","0","51.1792190000","8.2840930000"
"dc23639","destination charger","standard charger","0","51.3483470000","12.4767610000"
"dc26787","destination charger","standard charger","0","53.8806370000","10.6770380000"
"dc29477","destination charger","standard charger","0","46.7362560000","9.5568390000"
"dc29754","destination charger","standard charger","0","46.5505080000","9.8882020000"
"dc30496","destination charger","standard charger","0","52.5329510000","13.3804760000"
"dc10745","destination charger","standard charger","0","36.4364190000","-5.1079100000"
"dc18642","destination charger","standard charger","0","44.6785900000","2.8992130000"
"dc26685","destination charger","standard charger","0","47.1725090000","13.1003160000"
"dc27729","destination charger","standard charger","0","48.6366980000","-1.4260140000"
"dc30923","destination charger","standard charger","0","47.2730610000","12.7595820000"
"dc15931","destination charger","standard charger","0","46.6240540000","11.3626890000"
"dc23218","destination charger","standard charger","0","47.4212570000","-1.6391960000"
"dc25219","destination charger","standard charger","0","47.9197900000","16.8511160000"
"dc24398","destination charger","standard charger","0","45.9040440000","6.1444330000"
"dc26844","destination charger","standard charger","0","49.2479590000","4.0039770000"
"dc26955","destination charger","standard charger","0","44.8513240000","1.5270680000"
"dc19607","destination charger","standard charger","0","48.2222820000","11.4711620000"
"dc19887","destination charger","standard charger","0","47.3856600000","13.4130640000"
"dc22192","destination charger","standard charger","0","49.6337150000","10.8202290000"
"dc22954","destination charger","standard charger","0","47.3626860000","10.1813270000"
"dc25185","destination charger","standard charger","0","49.8028130000","10.1610790000"
"dc18208","destination charger","standard charger","0","50.1279930000","8.6260870000"
"dc18320","destination charger","standard charger","0","47.4453790000","12.3921790000"
"dc19805","destination charger","standard charger","0","50.6156440000","7.3132190000"
"dc27986","destination charger","standard charger","0","45.8375170000","1.2616650000"
"dc28449","destination charger","standard charger","0","38.7203410000","-0.6382540000"
"dc29746","destination charger","standard charger","0","48.4803770000","-2.6645820000"
"dc30058","destination charger","standard charger","0","49.4195420000","0.2316560000"
"dc14528","destination charger","standard charger","0","41.3837420000","2.1708660000"
"dc25862","destination charger","standard charger","0","46.9653650000","9.5533160000"
"dc27814","destination charger","standard charger","0","42.3785380000","1.7382930000"
"dc28241","destination charger","standard charger","0","41.6485440000","-0.8783380000"
"dc28268","destination charger","standard charger","0","50.5172190000","-3.7891480000"
"dc28311","destination charger","standard charger","0","53.2382000000","-4.1439500000"
"dc30028","destination charger","standard charger","0","36.5202780000","-6.2769444000"
"dc30065","destination charger","standard charger","0","43.3657850000","-5.1507290000"
"dc30072","destination charger","standard charger","0","43.1955770000","-6.5435350000"
"dc30073","destination charger","standard charger","0","43.3583530000","-3.4224430000"
"dc32941","destination charger","standard charger","0","41.6073580000","-0.8879260000"
"dc18829","destination charger","standard charger","0","53.4188900000","-6.9229420000"
"dc19357","destination charger","standard charger","0","47.2110310000","9.5227030000"
"dc19495","destination charger","standard charger","0","50.6920200000","-3.5178970000"
"dc21032","destination charger","standard charger","0","43.6144680000","6.5579470000"
"dc25676","destination charger","standard charger","0","49.4399500000","10.2125110000"
"dc26085","destination charger","standard charger","0","40.8512400000","17.4265860000"
"dc26198","destination charger","standard charger","0","44.1305480000","8.2434710000"
"dc26252","destination charger","standard charger","0","53.4979490000","-2.2349090000"
"dc27155","destination charger","standard charger","0","47.9210120000","7.1701640000"
"dc27721","destination charger","standard charger","0","44.8956080000","-0.1148010000"
"dc27880","destination charger","standard charger","0","43.6491530000","3.9759790000"
"dc29947","destination charger","standard charger","0","51.8337950000","-9.8985790000"
"dc30272","destination charger","standard charger","0","45.5121720000","12.2351530000"
"dc25378","destination charger","standard charger","0","43.5024840000","16.4572100000"
"dc26346","destination charger","standard charger","0","44.1322960000","12.4827220000"
"dc27164","destination charger","standard charger","0","45.9437540000","9.1758120000"
"dc28658","destination charger","standard charger","0","50.4496890000","-4.7142790000"
"dc30064","destination charger","standard charger","0","40.4120700000","0.4278100000"
"dc30098","destination charger","standard charger","0","47.8014330000","7.6720990000"
"dc30595","destination charger","standard charger","0","51.8928400000","6.9845120000"
"dc31811","destination charger","standard charger","0","24.8834850000","121.0868940000"
"dc28982","standard charger","destination charger","0","22.6130630000","120.3041650000"
"dc28971","destination charger","standard charger","0","24.1931210000","120.7437760000"
