STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
41,001,Baker,Oregon,16134,+44.779398,-117.765487
41,003,Benton,Oregon,85579,+44.571181,-123.278972
41,005,Clackamas,Oregon,375992,+45.363365,-122.574150
41,007,Clatsop,Oregon,37039,+46.098033,-123.837442
41,009,Columbia,Oregon,49351,+45.893189,-122.930050
41,011,Coos,Oregon,63043,+43.305343,-124.231247
41,013,Crook,Oregon,20978,+44.285943,-120.839327
41,015,Curry,Oregon,22364,+42.249909,-124.328547
41,017,Deschutes,Oregon,157733,+44.092071,-121.305650
41,019,Douglas,Oregon,107667,+43.237447,-123.386761
41,021,Gilliam,Oregon,1871,+45.438181,-120.194384
41,023,Grant,Oregon,7445,+44.450864,-119.001015
41,025,Harney,Oregon,7422,+43.522141,-118.986738
41,027,Hood River,Oregon,22346,+45.655533,-121.563132
41,029,Jackson,Oregon,203206,+42.346990,-122.858316
41,031,Jefferson,Oregon,21720,+44.601999,-121.193198
41,033,Josephine,Oregon,82713,+42.404127,-123.386809
41,035,Klamath,Oregon,66380,+42.281867,-121.724883
41,037,Lake,Oregon,7895,+42.490564,-120.479309
41,039,Lane,Oregon,351715,+44.038338,-123.117351
41,041,Lincoln,Oregon,46034,+44.712447,-124.000861
41,043,Linn,Oregon,116672,+44.554621,-122.959618
41,045,Malheur,Oregon,31313,+43.971312,-117.062987
41,047,Marion,Oregon,315335,+44.961690,-122.954793
41,049,Morrow,Oregon,11173,+45.730088,-119.612758
41,051,Multnomah,Oregon,735334,+45.517889,-122.588705
41,053,Polk,Oregon,75403,+44.920133,-123.211525
41,055,Sherman,Oregon,1765,+45.522409,-120.726192
41,057,Tillamook,Oregon,25250,+45.467428,-123.858675
41,059,Umatilla,Oregon,75889,+45.798618,-118.952064
41,061,Union,Oregon,25748,+45.341758,-118.019473
41,063,Wallowa,Oregon,7008,+45.443081,-117.310593
41,065,Wasco,Oregon,25213,+45.536003,-121.202594
41,067,Washington,Oregon,529710,+45.484210,-122.870641
41,069,Wheeler,Oregon,1441,+44.839441,-120.085187
41,071,Yamhill,Oregon,99193,+45.237712,-123.140448
