STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
48,001,Anderson,Texas,58458,+31.776143,-095.687072
48,003,Andrews,Texas,14786,+32.321660,-102.542123
48,005,Angelina,Texas,86771,+31.312605,-094.714115
48,007,Aransas,Texas,23158,+28.030072,-097.071875
48,009,Archer,Texas,9054,+33.704490,-098.610345
48,011,Armstrong,Texas,1901,+35.085722,-101.392092
48,013,Atascosa,Texas,44911,+29.034632,-098.576202
48,015,Austin,Texas,28417,+29.853256,-096.221858
48,017,Bailey,Texas,7165,+34.216557,-102.745529
48,019,Bandera,Texas,20485,+29.703543,-099.036031
48,021,Bastrop,Texas,74171,+30.144282,-097.358916
48,023,Baylor,Texas,3726,+33.596338,-099.261330
48,025,Bee,Texas,31861,+28.396655,-097.736901
48,027,Bell,Texas,310235,+31.084262,-097.592082
48,029,Bexar,Texas,1714773,+29.479255,-098.525238
48,031,Blanco,Texas,10497,+30.185496,-098.393265
48,033,Borden,Texas,641,+32.746089,-101.426185
48,035,Bosque,Texas,18212,+31.862160,-097.576972
48,037,Bowie,Texas,92565,+33.436159,-094.203466
48,039,Brazoria,Texas,313166,+29.329215,-095.385415
48,041,Brazos,Texas,194851,+30.628865,-096.330590
48,043,Brewster,Texas,9232,+30.217438,-103.617388
48,045,Briscoe,Texas,1637,+34.440834,-101.232801
48,047,Brooks,Texas,7223,+27.204776,-098.144221
48,049,Brown,Texas,38106,+31.731622,-098.989458
48,051,Burleson,Texas,17187,+30.479774,-096.646318
48,053,Burnet,Texas,42750,+30.671778,-098.244836
48,055,Caldwell,Texas,38066,+29.852388,-097.686629
48,057,Calhoun,Texas,21381,+28.586063,-096.625056
48,059,Callahan,Texas,13544,+32.346951,-099.448422
48,061,Cameron,Texas,406220,+26.045736,-097.556998
48,063,Camp,Texas,12401,+32.990653,-094.984080
48,065,Carson,Texas,6182,+35.384076,-101.329281
48,067,Cass,Texas,30464,+33.079821,-094.299328
48,069,Castro,Texas,8062,+34.521244,-102.268920
48,071,Chambers,Texas,35096,+29.801262,-094.741728
48,073,Cherokee,Texas,50845,+31.904972,-095.211216
48,075,Childress,Texas,7041,+34.428815,-100.225433
48,077,Clay,Texas,10752,+33.828051,-098.245004
48,079,Cochran,Texas,3127,+33.687756,-102.737454
48,081,Coke,Texas,3320,+31.904324,-100.405638
48,083,Coleman,Texas,8895,+31.808605,-099.423304
48,085,Collin,Texas,782341,+33.099357,-096.693057
48,087,Collingsworth,Texas,3057,+34.863545,-100.216872
48,089,Colorado,Texas,20874,+29.661294,-096.536638
48,091,Comal,Texas,108472,+29.764495,-098.221819
48,093,Comanche,Texas,13974,+31.969672,-098.557373
48,095,Concho,Texas,4087,+31.280122,-099.859636
48,097,Cooke,Texas,38437,+33.610424,-097.137065
48,099,Coryell,Texas,75388,+31.239826,-097.828854
48,101,Cottle,Texas,1505,+34.019044,-100.300376
48,103,Crane,Texas,4375,+31.400898,-102.352002
48,105,Crockett,Texas,3719,+30.707106,-101.220153
48,107,Crosby,Texas,6059,+33.664489,-101.361212
48,109,Culberson,Texas,2398,+31.071834,-104.821069
48,111,Dallam,Texas,6703,+36.110008,-102.577929
48,113,Dallas,Texas,2368139,+32.808956,-096.788197
48,115,Dawson,Texas,13833,+32.734650,-101.949316
48,117,Deaf Smith,Texas,19372,+34.835104,-102.402042
48,119,Delta,Texas,5231,+33.374580,-095.704605
48,121,Denton,Texas,662614,+33.109148,-097.019684
48,123,DeWitt,Texas,20097,+29.101571,-097.313585
48,125,Dickens,Texas,2444,+33.534982,-100.852578
48,127,Dimmit,Texas,9996,+28.519099,-099.817579
48,129,Donley,Texas,3677,+34.942070,-100.854050
48,131,Duval,Texas,11782,+27.729918,-098.389589
48,133,Eastland,Texas,18583,+32.356034,-098.840622
48,135,Ector,Texas,137130,+31.864941,-102.385800
48,137,Edwards,Texas,2002,+29.977801,-100.199570
48,139,Ellis,Texas,149610,+32.423916,-096.815886
48,141,El Paso,Texas,800647,+31.782045,-106.375936
48,143,Erath,Texas,37890,+32.206569,-098.228806
48,145,Falls,Texas,17866,+31.260968,-096.950734
48,147,Fannin,Texas,33915,+33.561545,-096.175947
48,149,Fayette,Texas,24554,+29.852400,-096.897998
48,151,Fisher,Texas,3974,+32.773990,-100.413883
48,153,Floyd,Texas,6446,+34.042836,-101.376103
48,155,Foard,Texas,1336,+33.991937,-099.701195
48,157,Fort Bend,Texas,585375,+29.613217,-095.663045
48,159,Franklin,Texas,10605,+33.126081,-095.223453
48,161,Freestone,Texas,19816,+31.696374,-096.209634
48,163,Frio,Texas,17217,+28.845787,-099.107465
48,165,Gaines,Texas,17526,+32.760539,-102.658431
48,167,Galveston,Texas,291309,+29.424115,-095.013496
48,169,Garza,Texas,6461,+33.198856,-101.385674
48,171,Gillespie,Texas,24837,+30.272524,-098.905778
48,173,Glasscock,Texas,1226,+31.851318,-101.514268
48,175,Goliad,Texas,7210,+28.704105,-097.370374
48,177,Gonzales,Texas,19807,+29.476703,-097.503570
48,179,Gray,Texas,22535,+35.527957,-100.938403
48,181,Grayson,Texas,120877,+33.649485,-096.624643
48,183,Gregg,Texas,121730,+32.498080,-094.791330
48,185,Grimes,Texas,26604,+30.447103,-096.009259
48,187,Guadalupe,Texas,131533,+29.598985,-098.097778
48,189,Hale,Texas,36273,+34.145755,-101.739801
48,191,Hall,Texas,3353,+34.658133,-100.604341
48,193,Hamilton,Texas,8517,+31.761315,-098.099032
48,195,Hansford,Texas,5613,+36.213931,-101.273482
48,197,Hardeman,Texas,4139,+34.283002,-099.694647
48,199,Hardin,Texas,54635,+30.303364,-094.262169
48,201,Harris,Texas,4092459,+29.807479,-095.417454
48,203,Harrison,Texas,65631,+32.534967,-094.412978
48,205,Hartley,Texas,6062,+35.984331,-102.488764
48,207,Haskell,Texas,5899,+33.178592,-099.767465
48,209,Hays,Texas,157107,+30.002460,-097.935889
48,211,Hemphill,Texas,3807,+35.893959,-100.364036
48,213,Henderson,Texas,78532,+32.237902,-095.889717
48,215,Hidalgo,Texas,774769,+26.232452,-098.184054
48,217,Hill,Texas,35089,+31.998096,-097.174067
48,219,Hockley,Texas,22935,+33.586415,-102.334830
48,221,Hood,Texas,51182,+32.432951,-097.765687
48,223,Hopkins,Texas,35161,+33.124117,-095.586932
48,225,Houston,Texas,23732,+31.298935,-095.464820
48,227,Howard,Texas,35012,+32.242066,-101.464986
48,229,Hudspeth,Texas,3476,+31.420986,-105.641319
48,231,Hunt,Texas,86129,+33.085785,-096.095018
48,233,Hutchinson,Texas,22150,+35.680700,-101.448842
48,235,Irion,Texas,1599,+31.266676,-100.844201
48,237,Jack,Texas,9044,+33.198497,-098.168776
48,239,Jackson,Texas,14075,+28.961331,-096.594951
48,241,Jasper,Texas,35710,+30.736464,-093.994075
48,243,Jeff Davis,Texas,2342,+30.603582,-103.990284
48,245,Jefferson,Texas,252273,+30.012330,-094.067554
48,247,Jim Hogg,Texas,5300,+27.304609,-098.683620
48,249,Jim Wells,Texas,40838,+27.751904,-098.064602
48,251,Johnson,Texas,150934,+32.435783,-097.325793
48,253,Jones,Texas,20202,+32.711236,-099.808917
48,255,Karnes,Texas,14824,+28.856195,-097.864151
48,257,Kaufman,Texas,103350,+32.656168,-096.338534
48,259,Kendall,Texas,33410,+29.841299,-098.725533
48,261,Kenedy,Texas,416,+27.065647,-097.773573
48,263,Kent,Texas,808,+33.247856,-100.629728
48,265,Kerr,Texas,49625,+30.039931,-099.159771
48,267,Kimble,Texas,4607,+30.490095,-099.732497
48,269,King,Texas,286,+33.653281,-100.314415
48,271,Kinney,Texas,3598,+29.304886,-100.418801
48,273,Kleberg,Texas,32061,+27.492495,-097.857766
48,275,Knox,Texas,3719,+33.464244,-099.705702
48,277,Lamar,Texas,49793,+33.674176,-095.535640
48,279,Lamb,Texas,13977,+34.028478,-102.324158
48,281,Lampasas,Texas,19677,+31.095880,-098.116277
48,283,La Salle,Texas,6886,+28.336046,-099.249834
48,285,Lavaca,Texas,19263,+29.409258,-097.047964
48,287,Lee,Texas,16612,+30.270012,-096.967301
48,289,Leon,Texas,16801,+31.299280,-096.046864
48,291,Liberty,Texas,75643,+30.155392,-094.901747
48,293,Limestone,Texas,23384,+31.592033,-096.520288
48,295,Lipscomb,Texas,3302,+36.387589,-100.354171
48,297,Live Oak,Texas,11531,+28.341838,-098.105736
48,299,Llano,Texas,19301,+30.684899,-098.511609
48,301,Loving,Texas,82,+31.745821,-103.602226
48,303,Lubbock,Texas,278831,+33.556622,-101.887742
48,305,Lynn,Texas,5915,+33.181411,-101.807743
48,307,McCulloch,Texas,8283,+31.150738,-099.337039
48,309,McLennan,Texas,234906,+31.541318,-097.171313
48,311,McMullen,Texas,707,+28.449157,-098.510050
48,313,Madison,Texas,13664,+30.955599,-095.897089
48,315,Marion,Texas,10546,+32.789690,-094.423837
48,317,Martin,Texas,4799,+32.184223,-101.825151
48,319,Mason,Texas,4012,+30.753290,-099.216248
48,321,Matagorda,Texas,36702,+28.915316,-096.002899
48,323,Maverick,Texas,54258,+28.709470,-100.481002
48,325,Medina,Texas,46006,+29.305418,-098.968309
48,327,Menard,Texas,2242,+30.899442,-099.772013
