STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
42,001,Adams,Pennsylvania,101407,+39.851863,-077.158646
42,003,Allegheny,Pennsylvania,1223348,+40.446249,-079.966538
42,005,Armstrong,Pennsylvania,68941,+40.769725,-079.511347
42,007,Beaver,Pennsylvania,170539,+40.684545,-080.302592
42,009,Bedford,Pennsylvania,49762,+40.053372,-078.477467
42,011,Berks,Pennsylvania,411442,+40.364226,-075.908729
42,013,Blair,Pennsylvania,127089,+40.485519,-078.377200
42,015,Bradford,Pennsylvania,62622,+41.829722,-076.526197
42,017,Bucks,Pennsylvania,625249,+40.238922,-075.024632
42,019,Butler,Pennsylvania,183862,+40.829199,-079.958665
42,021,Cambria,Pennsylvania,143679,+40.406479,-078.800168
42,023,Cameron,Pennsylvania,5085,+41.502183,-078.236901
42,025,Carbon,Pennsylvania,65249,+40.871762,-075.708746
42,027,Centre,Pennsylvania,153990,+40.841087,-077.838248
42,029,Chester,Pennsylvania,498886,+39.990871,-075.679351
42,031,Clarion,Pennsylvania,39988,+41.183479,-079.427108
42,033,Clearfield,Pennsylvania,81642,+40.988404,-078.495829
42,035,Clinton,Pennsylvania,39238,+41.141257,-077.451745
42,037,Columbia,Pennsylvania,67295,+41.037606,-076.390955
42,039,Crawford,Pennsylvania,88765,+41.665952,-080.101229
42,041,Cumberland,Pennsylvania,235406,+40.204609,-077.099379
42,043,Dauphin,Pennsylvania,268100,+40.306988,-076.796622
42,045,Delaware,Pennsylvania,558979,+39.921778,-075.348629
42,047,Elk,Pennsylvania,31946,+41.419475,-078.620668
42,049,Erie,Pennsylvania,280566,+42.068053,-080.071718
42,051,Fayette,Pennsylvania,136606,+39.949668,-079.714270
42,053,Forest,Pennsylvania,7716,+41.491795,-079.241027
42,055,Franklin,Pennsylvania,149618,+39.882739,-077.656246
42,057,Fulton,Pennsylvania,14845,+39.919336,-078.086385
42,059,Greene,Pennsylvania,38686,+39.876467,-080.117573
42,061,Huntingdon,Pennsylvania,45913,+40.424965,-078.002675
42,063,Indiana,Pennsylvania,88880,+40.616037,-079.129455
42,065,Jefferson,Pennsylvania,45200,+41.085708,-078.964758
42,067,Juniata,Pennsylvania,24636,+40.571523,-077.329618
42,069,Lackawanna,Pennsylvania,214437,+41.441266,-075.636058
42,071,Lancaster,Pennsylvania,519445,+40.073653,-076.290855
42,073,Lawrence,Pennsylvania,91108,+40.986592,-080.336662
42,075,Lebanon,Pennsylvania,133568,+40.341615,-076.442891
42,077,Lehigh,Pennsylvania,349497,+40.599225,-075.508970
42,079,Luzerne,Pennsylvania,320918,+41.199679,-075.929184
42,081,Lycoming,Pennsylvania,116111,+41.249888,-076.984140
42,083,McKean,Pennsylvania,43450,+41.865308,-078.583174
42,085,Mercer,Pennsylvania,116638,+41.263653,-080.336921
42,087,Mifflin,Pennsylvania,46682,+40.602421,-077.615982
42,089,Monroe,Pennsylvania,169842,+41.037307,-075.308191
42,091,Montgomery,Pennsylvania,799874,+40.169886,-075.313634
42,093,Montour,Pennsylvania,18267,+40.997428,-076.630083
42,095,Northampton,Pennsylvania,297735,+40.699705,-075.320519
42,097,Northumberland,Pennsylvania,94528,+40.873395,-076.682108
42,099,Perry,Pennsylvania,45969,+40.410162,-077.152841
42,101,Philadelphia,Pennsylvania,1526006,+40.004629,-075.139469
42,103,Pike,Pennsylvania,57369,+41.302232,-074.985987
42,105,Potter,Pennsylvania,17457,+41.822324,-077.936972
42,107,Schuylkill,Pennsylvania,148289,+40.713737,-076.197364
42,109,Snyder,Pennsylvania,39702,+40.786765,-076.981311
42,111,Somerset,Pennsylvania,77742,+40.031352,-079.010484
42,113,Sullivan,Pennsylvania,6428,+41.470773,-076.490820
42,115,Susquehanna,Pennsylvania,43356,+41.822623,-075.770799
42,117,Tioga,Pennsylvania,41981,+41.815409,-077.207281
42,119,Union,Pennsylvania,44947,+40.974260,-076.957803
42,121,Venango,Pennsylvania,54984,+41.406083,-079.766084
42,123,Warren,Pennsylvania,41815,+41.851752,-079.238649
42,125,Washington,Pennsylvania,207820,+40.204057,-080.144361
42,127,Wayne,Pennsylvania,52822,+41.539119,-075.308900
42,129,Westmoreland,Pennsylvania,365169,+40.339402,-079.591786
42,131,Wyoming,Pennsylvania,28276,+41.539714,-075.938352
42,133,York,Pennsylvania,434972,+39.942113,-076.750832
