STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
19,001,Adair,Iowa,7682,+41.344629,-094.479157
19,003,Adams,Iowa,4029,+41.006693,-094.709635
19,005,Allamakee,Iowa,14330,+43.257050,-091.417115
19,007,Appanoose,Iowa,12887,+40.739836,-092.867034
19,009,Audubon,Iowa,6119,+41.676829,-094.925302
19,011,Benton,Iowa,26076,+42.062220,-092.017478
19,013,Black Hawk,Iowa,131090,+42.490851,-092.370013
19,015,Boone,Iowa,26306,+42.026494,-093.895155
19,017,Bremer,Iowa,24276,+42.743058,-092.376967
19,019,Buchanan,Iowa,20958,+42.486957,-091.901041
19,021,Buena Vista,Iowa,20260,+42.679153,-095.181444
19,023,Butler,Iowa,14867,+42.707538,-092.758692
19,025,Calhoun,Iowa,9670,+42.400162,-094.625331
19,027,Carroll,Iowa,20816,+42.038571,-094.867634
19,029,Cass,Iowa,13956,+41.365898,-094.979466
19,031,Cedar,Iowa,18499,+41.757883,-091.137388
19,033,Cerro Gordo,Iowa,44151,+43.135116,-093.246222
19,035,Cherokee,Iowa,12072,+42.749288,-095.593937
19,037,Chickasaw,Iowa,12439,+43.038059,-092.344319
19,039,Clarke,Iowa,9286,+41.036835,-093.781260
19,041,Clay,Iowa,16667,+43.127315,-095.159571
19,043,Clayton,Iowa,18129,+42.860097,-091.322919
19,045,Clinton,Iowa,49116,+41.852707,-090.335737
19,047,Crawford,Iowa,17096,+42.027366,-095.358454
19,049,Dallas,Iowa,66135,+41.645223,-093.923368
19,051,Davis,Iowa,8753,+40.765097,-092.415821
19,053,Decatur,Iowa,8457,+40.710010,-093.821366
19,055,Delaware,Iowa,17764,+42.482434,-091.383342
19,057,Des Moines,Iowa,40325,+40.833525,-091.141489
19,059,Dickinson,Iowa,16667,+43.389624,-095.133548
19,061,Dubuque,Iowa,93653,+42.493726,-090.759915
19,063,Emmet,Iowa,10302,+43.394425,-094.754990
19,065,Fayette,Iowa,20880,+42.820385,-091.855375
19,067,Floyd,Iowa,16303,+43.074625,-092.752330
19,069,Franklin,Iowa,10680,+42.755202,-093.240318
19,071,Fremont,Iowa,7441,+40.747942,-095.623322
19,073,Greene,Iowa,9336,+42.029792,-094.375962
19,075,Grundy,Iowa,12453,+42.380262,-092.748284
19,077,Guthrie,Iowa,10954,+41.669446,-094.431251
19,079,Hamilton,Iowa,15673,+42.407552,-093.766985
19,081,Hancock,Iowa,11341,+43.092013,-093.705072
19,083,Hardin,Iowa,17534,+42.436775,-093.215799
19,085,Harrison,Iowa,14928,+41.662391,-095.807433
19,087,Henry,Iowa,20145,+40.981343,-091.537058
19,089,Howard,Iowa,9566,+43.361616,-092.231027
19,091,Humboldt,Iowa,9815,+42.746790,-094.215551
19,093,Ida,Iowa,7089,+42.391343,-095.504381
19,095,Iowa,Iowa,16355,+41.702615,-092.039923
19,097,Jackson,Iowa,19848,+42.139283,-090.566782
19,099,Jasper,Iowa,36842,+41.678374,-093.070038
19,101,Jefferson,Iowa,16843,+41.013171,-091.964603
19,103,Johnson,Iowa,130882,+41.679755,-091.558310
19,105,Jones,Iowa,20638,+42.136467,-091.198513
19,107,Keokuk,Iowa,10511,+41.325439,-092.174990
19,109,Kossuth,Iowa,15543,+43.147016,-094.220570
19,111,Lee,Iowa,35862,+40.558570,-091.396226
19,113,Linn,Iowa,211226,+42.009607,-091.647251
19,115,Louisa,Iowa,11387,+41.225790,-091.259929
19,117,Lucas,Iowa,8898,+41.021148,-093.313045
19,119,Lyon,Iowa,11581,+43.385265,-096.218544
19,121,Madison,Iowa,15679,+41.347064,-093.989405
19,123,Mahaska,Iowa,22381,+41.312080,-092.641016
19,125,Marion,Iowa,33309,+41.354830,-093.042690
19,127,Marshall,Iowa,40648,+42.031353,-092.938421
19,129,Mills,Iowa,15059,+41.049670,-095.695267
19,131,Mitchell,Iowa,10776,+43.336257,-092.803247
19,133,Monona,Iowa,9243,+42.063026,-095.985135
19,135,Monroe,Iowa,7970,+41.035615,-092.827682
19,137,Montgomery,Iowa,10740,+41.008619,-095.167995
19,139,Muscatine,Iowa,42745,+41.464065,-091.078997
19,141,O'Brien,Iowa,14398,+43.126413,-095.690881
19,143,Osceola,Iowa,6462,+43.386380,-095.680373
19,145,Page,Iowa,15932,+40.747616,-095.188476
19,147,Palo Alto,Iowa,9421,+43.099878,-094.690212
19,149,Plymouth,Iowa,24986,+42.747907,-096.203431
19,151,Pocahontas,Iowa,7310,+42.745402,-094.700868
19,153,Polk,Iowa,430640,+41.623296,-093.641654
19,155,Pottawattamie,Iowa,93158,+41.278533,-095.795150
19,157,Poweshiek,Iowa,18914,+41.709953,-092.620663
19,159,Ringgold,Iowa,5131,+40.733763,-094.238520
19,161,Sac,Iowa,10350,+42.375805,-095.088801
19,163,Scott,Iowa,165224,+41.563153,-090.567812
19,165,Shelby,Iowa,12167,+41.665153,-095.320336
19,167,Sioux,Iowa,33704,+43.079825,-096.167270
19,169,Story,Iowa,89542,+42.026371,-093.601827
19,171,Tama,Iowa,17767,+42.065599,-092.542587
19,173,Taylor,Iowa,6317,+40.755364,-094.673438
19,175,Union,Iowa,12534,+41.053083,-094.318925
19,177,Van Buren,Iowa,7570,+40.745557,-091.939134
19,179,Wapello,Iowa,35625,+41.016218,-092.418385
19,181,Warren,Iowa,46225,+41.400885,-093.588243
19,183,Washington,Iowa,21704,+41.361978,-091.695465
19,185,Wayne,Iowa,6403,+40.740054,-093.312926
19,187,Webster,Iowa,38013,+42.480374,-094.179066
19,189,Winnebago,Iowa,10866,+43.342880,-093.667031
19,191,Winneshiek,Iowa,21056,+43.281284,-091.814375
19,193,Woodbury,Iowa,102172,+42.483225,-096.344174
19,195,Worth,Iowa,7598,+43.366540,-093.252258
19,197,Wright,Iowa,13229,+42.732195,-093.755488
