STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
12,001,Alachua,Florida,247336,+29.665903,-082.386845
12,003,Baker,Florida,27115,+30.288432,-082.185477
12,005,Bay,Florida,168852,+30.206925,-085.660217
12,007,Bradford,Florida,28520,+29.953429,-082.128192
12,009,Brevard,Florida,543376,+28.232195,-080.690979
12,011,Broward,Florida,1748066,+26.134058,-080.227135
12,013,Calhoun,Florida,14625,+30.463143,-085.122189
12,015,Charlotte,Florida,159978,+26.954793,-082.119946
12,017,Citrus,Florida,141236,+28.863598,-082.453512
12,019,Clay,Florida,190865,+30.084386,-081.799410
12,021,Collier,Florida,321520,+26.199831,-081.699625
12,023,Columbia,Florida,67531,+30.126051,-082.660566
12,027,DeSoto,Florida,34862,+27.189369,-081.864094
12,029,Dixie,Florida,16422,+29.634179,-083.056329
12,031,Duval,Florida,864263,+30.300302,-081.622853
12,033,Escambia,Florida,297619,+30.485314,-087.274788
12,035,Flagler,Florida,95696,+29.523494,-081.224735
12,037,Franklin,Florida,11549,+29.786787,-084.822838
12,039,Gadsden,Florida,46389,+30.598280,-084.581397
12,041,Gilchrist,Florida,16939,+29.704639,-082.808262
12,043,Glades,Florida,12884,+26.896029,-081.185404
12,045,Gulf,Florida,15863,+29.988579,-085.259478
12,047,Hamilton,Florida,14799,+30.501534,-082.997218
12,049,Hardee,Florida,27731,+27.548312,-081.815432
12,051,Hendry,Florida,39140,+26.705392,-081.202571
12,053,Hernando,Florida,172778,+28.504850,-082.496961
12,055,Highlands,Florida,98786,+27.460415,-081.442555
12,057,Hillsborough,Florida,1229226,+27.976529,-082.401275
12,059,Holmes,Florida,19927,+30.847684,-085.758558
12,061,Indian River,Florida,138028,+27.671827,-080.440581
12,063,Jackson,Florida,49746,+30.800240,-085.216119
12,065,Jefferson,Florida,14761,+30.504031,-083.886291
12,067,Lafayette,Florida,8870,+30.065418,-083.179508
12,069,Lake,Florida,297052,+28.735689,-081.752026
12,071,Lee,Florida,618754,+26.574992,-081.858144
12,073,Leon,Florida,275487,+30.466103,-084.270371
12,075,Levy,Florida,40801,+29.379995,-082.666319
12,077,Liberty,Florida,8365,+30.399795,-084.905169
12,079,Madison,Florida,19224,+30.472630,-083.430563
12,081,Manatee,Florida,322833,+27.477054,-082.532775
12,083,Marion,Florida,331298,+29.140116,-082.123367
12,085,Martin,Florida,146318,+27.144300,-080.244395
12,086,Miami-Dade,Florida,2496435,+25.774565,-080.298888
12,087,Monroe,Florida,73090,+24.739678,-081.263945
12,089,Nassau,Florida,73314,+30.607962,-081.647153
12,091,Okaloosa,Florida,180822,+30.542829,-086.567105
12,093,Okeechobee,Florida,39996,+27.272057,-080.822153
12,095,Orange,Florida,1145956,+28.532855,-081.384377
12,097,Osceola,Florida,268685,+28.266765,-081.383484
12,099,Palm Beach,Florida,1320134,+26.617075,-080.146119
12,101,Pasco,Florida,464697,+28.261606,-082.516080
12,103,Pinellas,Florida,916542,+27.899794,-082.727651
12,105,Polk,Florida,602095,+28.031140,-081.799975
12,107,Putnam,Florida,74364,+29.609299,-081.720431
12,109,St. Johns,Florida,190039,+29.977088,-081.421504
12,111,St. Lucie,Florida,277789,+27.338067,-080.353183
12,113,Santa Rosa,Florida,151372,+30.549593,-087.036954
12,115,Sarasota,Florida,379448,+27.208205,-082.423893
12,117,Seminole,Florida,422718,+28.697834,-081.310445
12,119,Sumter,Florida,93420,+28.825768,-082.035469
12,121,Suwannee,Florida,41551,+30.214688,-082.987546
12,123,Taylor,Florida,22570,+30.064881,-083.597967
12,125,Union,Florida,15535,+30.010768,-082.356919
12,127,Volusia,Florida,494593,+29.073725,-081.123944
12,129,Wakulla,Florida,30776,+30.185525,-084.331546
12,131,Walton,Florida,55043,+30.583729,-086.190665
12,133,Washington,Florida,24896,+30.650718,-085.625419
