STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
18,001,Adams,Indiana,34387,+40.753767,-084.934317
18,003,Allen,Indiana,355329,+41.098642,-085.122329
18,005,Bartholomew,Indiana,76794,+39.216785,-085.902794
18,007,Benton,Indiana,8854,+40.575066,-087.291433
18,009,Blackford,Indiana,12766,+40.469726,-085.344190
18,011,Boone,Indiana,56640,+40.013009,-086.398737
18,013,Brown,Indiana,15242,+39.236241,-086.209690
18,015,Carroll,Indiana,20155,+40.578983,-086.600098
18,017,Cass,Indiana,38966,+40.747104,-086.339592
18,019,Clark,Indiana,110232,+38.371546,-085.732035
18,021,Clay,Indiana,26890,+39.469066,-087.124217
18,023,Clinton,Indiana,33224,+40.298201,-086.512307
18,025,Crawford,Indiana,10713,+38.313435,-086.423444
18,027,Daviess,Indiana,31648,+38.696963,-087.098076
18,029,Dearborn,Indiana,50047,+39.144620,-084.920935
18,031,Decatur,Indiana,25740,+39.319975,-085.494211
18,033,DeKalb,Indiana,42223,+41.378214,-085.034285
18,035,Delaware,Indiana,117671,+40.205170,-085.401962
18,037,Dubois,Indiana,41889,+38.357067,-086.914032
18,039,Elkhart,Indiana,197559,+41.637679,-085.906728
18,041,Fayette,Indiana,24277,+39.640791,-085.147496
18,043,Floyd,Indiana,74578,+38.321514,-085.855645
18,045,Fountain,Indiana,17240,+40.152089,-087.271946
18,047,Franklin,Indiana,23087,+39.401885,-085.070265
18,049,Fulton,Indiana,20836,+41.059389,-086.220078
18,051,Gibson,Indiana,33503,+38.309180,-087.546685
18,053,Grant,Indiana,70061,+40.525253,-085.644413
18,055,Greene,Indiana,33165,+39.052316,-086.992172
18,057,Hamilton,Indiana,274569,+40.002534,-086.059737
18,059,Hancock,Indiana,70002,+39.811662,-085.824125
18,061,Harrison,Indiana,39364,+38.233745,-086.097474
18,063,Hendricks,Indiana,145448,+39.772784,-086.415055
18,065,Henry,Indiana,49462,+39.928644,-085.403678
18,067,Howard,Indiana,82752,+40.470704,-086.132959
18,069,Huntington,Indiana,37124,+40.870224,-085.487085
18,071,Jackson,Indiana,42376,+38.925896,-085.942654
18,073,Jasper,Indiana,33478,+41.075783,-087.149436
18,075,Jay,Indiana,21253,+40.428424,-085.033025
18,077,Jefferson,Indiana,32428,+38.758956,-085.433692
18,079,Jennings,Indiana,28525,+39.005169,-085.648821
18,081,Johnson,Indiana,139654,+39.553276,-086.113609
18,083,Knox,Indiana,38440,+38.698623,-087.457680
18,085,Kosciusko,Indiana,77358,+41.266796,-085.830484
18,087,LaGrange,Indiana,37128,+41.632400,-085.461170
18,089,Lake,Indiana,496005,+41.526226,-087.408155
18,091,LaPorte,Indiana,111467,+41.631837,-086.790977
18,093,Lawrence,Indiana,46134,+38.846386,-086.495718
18,095,Madison,Indiana,131636,+40.114120,-085.708901
18,097,Marion,Indiana,903393,+39.791299,-086.135905
18,099,Marshall,Indiana,47051,+41.347248,-086.273082
18,101,Martin,Indiana,10334,+38.678357,-086.848113
18,103,Miami,Indiana,36903,+40.730651,-086.073933
18,105,Monroe,Indiana,137974,+39.162879,-086.537697
18,107,Montgomery,Indiana,38124,+40.035110,-086.900060
18,109,Morgan,Indiana,68894,+39.512251,-086.399318
18,111,Newton,Indiana,14244,+40.994087,-087.380385
18,113,Noble,Indiana,47536,+41.413892,-085.391205
18,115,Ohio,Indiana,6128,+38.954549,-084.911295
18,117,Orange,Indiana,19840,+38.562156,-086.496982
18,119,Owen,Indiana,21575,+39.315596,-086.799822
18,121,Parke,Indiana,17339,+39.758327,-087.227997
18,123,Perry,Indiana,19338,+38.009327,-086.705205
18,125,Pike,Indiana,12845,+38.424833,-087.233923
18,127,Porter,Indiana,164343,+41.513679,-087.105308
18,129,Posey,Indiana,25910,+38.013245,-087.823041
18,131,Pulaski,Indiana,13402,+41.050592,-086.685266
18,133,Putnam,Indiana,37963,+39.646107,-086.835611
18,135,Randolph,Indiana,26171,+40.168573,-084.997064
18,137,Ripley,Indiana,28818,+39.159402,-085.218379
18,139,Rush,Indiana,17392,+39.623616,-085.474569
18,141,St. Joseph,Indiana,266931,+41.675400,-086.228686
18,143,Scott,Indiana,24181,+38.698198,-085.762718
18,145,Shelby,Indiana,44436,+39.536039,-085.789825
18,147,Spencer,Indiana,20952,+38.015495,-087.011149
18,149,Starke,Indiana,23363,+41.282896,-086.631962
18,151,Steuben,Indiana,34185,+41.649521,-085.010662
18,153,Sullivan,Indiana,21475,+39.103093,-087.390988
18,155,Switzerland,Indiana,10613,+38.819835,-085.023499
18,157,Tippecanoe,Indiana,172780,+40.417880,-086.886971
18,159,Tipton,Indiana,15936,+40.308849,-086.050587
18,161,Union,Indiana,7516,+39.618626,-084.919102
18,163,Vanderburgh,Indiana,179703,+37.996062,-087.551819
18,165,Vermillion,Indiana,16212,+39.763164,-087.440231
18,167,Vigo,Indiana,107848,+39.460817,-087.387985
18,169,Wabash,Indiana,32888,+40.858522,-085.802372
18,171,Warren,Indiana,8508,+40.312186,-087.326289
18,173,Warrick,Indiana,59689,+38.012884,-087.352574
18,175,Washington,Indiana,28262,+38.572886,-086.086677
18,177,Wayne,Indiana,68917,+39.842737,-084.949811
18,179,Wells,Indiana,27636,+40.770771,-085.194412
18,181,White,Indiana,24643,+40.755698,-086.810306
18,183,Whitley,Indiana,33292,+41.163144,-085.478480
