STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
56,001,Albany,Wyoming,36299,+41.314993,-105.598281
56,003,Big Horn,Wyoming,11668,+44.629497,-108.244578
56,005,Campbell,Wyoming,46133,+44.254397,-105.494894
56,007,Carbon,Wyoming,15885,+41.670117,-107.083924
56,009,Converse,Wyoming,13833,+42.794110,-105.527589
56,011,Crook,Wyoming,7083,+44.432535,-104.625297
56,013,Fremont,Wyoming,40123,+43.013591,-108.608913
56,015,Goshen,Wyoming,13249,+42.046971,-104.220514
56,017,Hot Springs,Wyoming,4812,+43.661835,-108.230408
56,019,Johnson,Wyoming,8569,+44.290845,-106.693517
56,021,Laramie,Wyoming,91738,+41.153225,-104.773209
56,023,Lincoln,Wyoming,18106,+42.580437,-110.841375
56,025,Natrona,Wyoming,75450,+42.844218,-106.336877
56,027,Niobrara,Wyoming,2484,+42.809987,-104.465879
56,029,Park,Wyoming,28205,+44.615174,-108.973460
56,031,Platte,Wyoming,8667,+42.102310,-104.928453
56,033,Sheridan,Wyoming,29116,+44.781091,-106.974338
56,035,Sublette,Wyoming,10247,+42.780901,-109.961153
56,037,Sweetwater,Wyoming,43806,+41.580266,-109.295115
56,039,Teton,Wyoming,21294,+43.494174,-110.784353
56,041,Uinta,Wyoming,21118,+41.271860,-110.767519
56,043,Washakie,Wyoming,8533,+44.012142,-107.911552
56,045,Weston,Wyoming,7208,+43.910214,-104.312414
