STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
47,001,Anderson,Tennessee,75129,+36.082029,-084.180288
47,003,Bedford,Tennessee,45058,+35.512410,-086.464741
47,005,Benton,Tennessee,16489,+36.071513,-088.090020
47,007,Bledsoe,Tennessee,12876,+35.612132,-085.195883
47,009,Blount,Tennessee,123010,+35.752926,-083.973022
47,011,Bradley,Tennessee,98963,+35.166015,-084.859341
47,013,Campbell,Tennessee,40716,+36.383124,-084.125923
47,015,Cannon,Tennessee,13801,+35.800320,-086.062620
47,017,Carroll,Tennessee,28522,+36.018048,-088.464475
47,019,Carter,Tennessee,57424,+36.318376,-082.201421
47,021,Cheatham,Tennessee,39105,+36.269635,-087.063974
47,023,Chester,Tennessee,17131,+35.436863,-088.622571
47,025,Claiborne,Tennessee,32213,+36.491598,-083.641750
47,027,Clay,Tennessee,7861,+36.553965,-085.560947
47,029,Cocke,Tennessee,35662,+35.947227,-083.174767
47,031,Coffee,Tennessee,52796,+35.454014,-086.124954
47,033,Crockett,Tennessee,14586,+35.789488,-089.122632
47,035,Cumberland,Tennessee,56053,+35.954565,-085.020109
47,037,Davidson,Tennessee,626681,+36.140596,-086.745450
47,039,Decatur,Tennessee,11757,+35.610752,-088.126566
47,041,DeKalb,Tennessee,18723,+35.966234,-085.838617
47,043,Dickson,Tennessee,49666,+36.106096,-087.345598
47,045,Dyer,Tennessee,38335,+36.058797,-089.359385
47,047,Fayette,Tennessee,38413,+35.203083,-089.470445
47,049,Fentress,Tennessee,17959,+36.365518,-084.936630
47,051,Franklin,Tennessee,41052,+35.206924,-086.116239
47,053,Gibson,Tennessee,49683,+35.938053,-088.876406
47,055,Giles,Tennessee,29485,+35.191241,-087.031071
47,057,Grainger,Tennessee,22657,+36.269199,-083.483361
47,059,Greene,Tennessee,68831,+36.177294,-082.833456
47,061,Grundy,Tennessee,13703,+35.341946,-085.720235
47,063,Hamblen,Tennessee,62544,+36.215973,-083.296406
47,065,Hamilton,Tennessee,336463,+35.093485,-085.205177
47,067,Hancock,Tennessee,6819,+36.517795,-083.231350
47,069,Hardeman,Tennessee,27253,+35.222290,-089.017224
47,071,Hardin,Tennessee,26026,+35.199678,-088.226837
47,073,Hawkins,Tennessee,56833,+36.462944,-082.873902
47,075,Haywood,Tennessee,18787,+35.586187,-089.267291
47,077,Henderson,Tennessee,27769,+35.648436,-088.402036
47,079,Henry,Tennessee,32330,+36.319164,-088.293739
47,081,Hickman,Tennessee,24690,+35.852522,-087.403679
47,083,Houston,Tennessee,8426,+36.304687,-087.703330
47,085,Humphreys,Tennessee,18538,+36.072233,-087.774505
47,087,Jackson,Tennessee,11638,+36.329916,-085.628303
47,089,Jefferson,Tennessee,51407,+36.067034,-083.453522
47,091,Johnson,Tennessee,18244,+36.450735,-081.843103
47,093,Knox,Tennessee,432226,+35.973839,-083.985913
47,095,Lake,Tennessee,7832,+36.357362,-089.468133
47,097,Lauderdale,Tennessee,27815,+35.762745,-089.541740
47,099,Lawrence,Tennessee,41869,+35.235100,-087.355853
47,101,Lewis,Tennessee,12161,+35.533806,-087.523745
47,103,Lincoln,Tennessee,33361,+35.107495,-086.574658
47,105,Loudon,Tennessee,48556,+35.759679,-084.286322
47,107,McMinn,Tennessee,52266,+35.425632,-084.598553
47,109,McNairy,Tennessee,26075,+35.177181,-088.542589
47,111,Macon,Tennessee,22248,+36.535537,-086.022066
47,113,Madison,Tennessee,98294,+35.650005,-088.822589
47,115,Marion,Tennessee,28237,+35.109364,-085.604158
47,117,Marshall,Tennessee,30617,+35.488656,-086.772777
47,119,Maury,Tennessee,80956,+35.623000,-087.045667
47,121,Meigs,Tennessee,11753,+35.503802,-084.815615
47,123,Monroe,Tennessee,44519,+35.517149,-084.353878
47,125,Montgomery,Tennessee,172331,+36.551703,-087.352951
47,127,Moore,Tennessee,6362,+35.297553,-086.341444
47,129,Morgan,Tennessee,21987,+36.098632,-084.590381
47,131,Obion,Tennessee,31807,+36.396173,-089.080699
47,133,Overton,Tennessee,22083,+36.348292,-085.322853
47,135,Perry,Tennessee,7915,+35.652569,-087.858652
47,137,Pickett,Tennessee,5077,+36.566056,-085.141613
47,139,Polk,Tennessee,16825,+35.125651,-084.565986
47,141,Putnam,Tennessee,72321,+36.163405,-085.503295
47,143,Rhea,Tennessee,31809,+35.556242,-084.955218
47,145,Roane,Tennessee,54181,+35.882073,-084.524136
47,147,Robertson,Tennessee,66283,+36.484933,-086.832296
47,149,Rutherford,Tennessee,262604,+35.892016,-086.447980
47,151,Scott,Tennessee,22228,+36.453953,-084.506554
47,153,Sequatchie,Tennessee,14112,+35.354219,-085.392052
47,155,Sevier,Tennessee,89889,+35.861562,-083.580944
47,157,Shelby,Tennessee,927644,+35.131228,-089.894188
47,159,Smith,Tennessee,19166,+36.241092,-085.968484
47,161,Stewart,Tennessee,13324,+36.493717,-087.798679
47,163,Sullivan,Tennessee,156823,+36.531452,-082.394917
47,165,Sumner,Tennessee,160645,+36.398559,-086.536931
