STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
27,001,Aitkin,Minnesota,16202,+46.570765,-093.524368
27,003,Anoka,Minnesota,330844,+45.195145,-093.270245
27,005,Becker,Minnesota,32504,+46.849159,-095.776251
27,007,Beltrami,Minnesota,44442,+47.591009,-094.863032
27,009,Benton,Minnesota,38451,+45.633538,-094.102484
27,011,Big Stone,Minnesota,5269,+45.400021,-096.443222
27,013,Blue Earth,Minnesota,64013,+44.129816,-093.998839
27,015,Brown,Minnesota,25893,+44.284244,-094.599226
27,017,Carlton,Minnesota,35386,+46.642726,-092.536239
27,019,Carver,Minnesota,91042,+44.838040,-093.679956
27,021,Cass,Minnesota,28567,+46.814565,-094.415763
27,023,Chippewa,Minnesota,12441,+44.960561,-095.620749
27,025,Chisago,Minnesota,53887,+45.453007,-092.924051
27,027,Clay,Minnesota,58999,+46.857998,-096.672421
27,029,Clearwater,Minnesota,8695,+47.561894,-095.388249
27,031,Cook,Minnesota,5176,+47.783499,-090.337909
27,033,Cottonwood,Minnesota,11687,+43.941510,-095.119501
27,035,Crow Wing,Minnesota,62500,+46.430372,-094.158899
27,037,Dakota,Minnesota,398552,+44.765954,-093.151767
27,039,Dodge,Minnesota,20087,+44.029980,-092.808798
27,041,Douglas,Minnesota,36009,+45.909027,-095.391990
27,043,Faribault,Minnesota,14553,+43.680245,-093.957933
27,045,Fillmore,Minnesota,20866,+43.692687,-092.082719
27,047,Freeborn,Minnesota,31255,+43.662563,-093.361794
27,049,Goodhue,Minnesota,46183,+44.449072,-092.667524
27,051,Grant,Minnesota,6018,+45.943212,-095.936611
27,053,Hennepin,Minnesota,1152425,+44.974633,-093.361190
27,055,Houston,Minnesota,19027,+43.718927,-091.440063
27,057,Hubbard,Minnesota,20428,+47.057887,-094.934153
27,059,Isanti,Minnesota,37816,+45.544297,-093.261468
27,061,Itasca,Minnesota,45058,+47.315978,-093.520532
27,063,Jackson,Minnesota,10266,+43.665988,-095.112558
27,065,Kanabec,Minnesota,16239,+45.886315,-093.299412
27,067,Kandiyohi,Minnesota,42239,+45.155050,-095.016796
27,069,Kittson,Minnesota,4552,+48.729536,-096.781108
27,071,Koochiching,Minnesota,13311,+48.509405,-093.485728
27,073,Lac qui Parle,Minnesota,7259,+44.982243,-096.133339
27,075,Lake,Minnesota,10866,+47.180205,-091.557430
27,077,Lake of the Woods,Minnesota,4045,+48.765863,-094.745194
27,079,Le Sueur,Minnesota,27703,+44.393730,-093.717527
27,081,Lincoln,Minnesota,5896,+44.375241,-096.253532
27,083,Lyon,Minnesota,25857,+44.428427,-095.795395
27,085,McLeod,Minnesota,36651,+44.859713,-094.264668
27,087,Mahnomen,Minnesota,5413,+47.296073,-095.840755
27,089,Marshall,Minnesota,9439,+48.310109,-096.532098
27,091,Martin,Minnesota,20840,+43.665285,-094.511487
27,093,Meeker,Minnesota,23300,+45.136368,-094.482983
27,095,Mille Lacs,Minnesota,26097,+45.794231,-093.624487
27,097,Morrison,Minnesota,33198,+45.983428,-094.327628
27,099,Mower,Minnesota,39163,+43.665099,-092.898185
27,101,Murray,Minnesota,8725,+43.986450,-095.741030
27,103,Nicollet,Minnesota,32727,+44.265357,-094.060790
27,105,Nobles,Minnesota,21378,+43.636327,-095.667405
27,107,Norman,Minnesota,6852,+47.307989,-096.477907
27,109,Olmsted,Minnesota,144248,+44.023967,-092.473176
27,111,Otter Tail,Minnesota,57303,+46.405065,-095.793598
27,113,Pennington,Minnesota,13930,+48.102255,-096.148403
27,115,Pine,Minnesota,29750,+46.033410,-092.892705
27,117,Pipestone,Minnesota,9596,+43.981472,-096.270609
27,119,Polk,Minnesota,31600,+47.780427,-096.550934
27,121,Pope,Minnesota,10995,+45.629871,-095.437130
27,123,Ramsey,Minnesota,508640,+44.993146,-093.106321
27,125,Red Lake,Minnesota,4089,+47.876104,-096.135646
27,127,Redwood,Minnesota,16059,+44.438880,-095.195158
27,129,Renville,Minnesota,15730,+44.721974,-094.937875
27,131,Rice,Minnesota,64142,+44.370592,-093.260361
27,133,Rock,Minnesota,9687,+43.648101,-096.238816
27,135,Roseau,Minnesota,15629,+48.821304,-095.648394
27,137,St. Louis,Minnesota,200226,+47.085203,-092.311226
27,139,Scott,Minnesota,129928,+44.713131,-093.467891
27,141,Sherburne,Minnesota,88499,+45.404646,-093.721897
27,143,Sibley,Minnesota,15226,+44.582707,-094.168405
27,145,Stearns,Minnesota,150642,+45.557830,-094.360801
27,147,Steele,Minnesota,36576,+44.064305,-093.214413
27,149,Stevens,Minnesota,9726,+45.580687,-095.926026
27,151,Swift,Minnesota,9783,+45.274076,-095.644420
27,153,Todd,Minnesota,24895,+46.066924,-094.886512
27,155,Traverse,Minnesota,3558,+45.751079,-096.549170
27,157,Wabasha,Minnesota,21676,+44.297858,-092.221086
27,159,Wadena,Minnesota,13843,+46.524393,-095.041370
27,161,Waseca,Minnesota,19136,+44.061000,-093.549998
27,163,Washington,Minnesota,238136,+44.988623,-092.920897
27,165,Watonwan,Minnesota,11211,+43.993423,-094.583786
27,167,Wilkin,Minnesota,6576,+46.316536,-096.529683
27,169,Winona,Minnesota,51461,+44.023706,-091.714435
27,171,Wright,Minnesota,124700,+45.197631,-093.828888
27,173,Yellow Medicine,Minnesota,10438,+44.737553,-095.825953
