STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
26,001,Alcona,Michigan,10942,+44.665115,-083.467594
26,003,Alger,Michigan,9601,+46.388671,-086.700410
26,005,Allegan,Michigan,111408,+42.603137,-085.874288
26,007,Alpena,Michigan,29598,+45.050953,-083.504463
26,009,Antrim,Michigan,23580,+44.978647,-085.198692
26,011,Arenac,Michigan,15899,+44.044496,-083.882730
26,013,Baraga,Michigan,8860,+46.765021,-088.454260
26,015,Barry,Michigan,59173,+42.614153,-085.341744
26,017,Bay,Michigan,107771,+43.630574,-083.928385
26,019,Benzie,Michigan,17525,+44.650382,-086.016123
26,021,Berrien,Michigan,156813,+41.987514,-086.407539
26,023,Branch,Michigan,45248,+41.929764,-085.031761
26,025,Calhoun,Michigan,136146,+42.289509,-085.101835
26,027,Cass,Michigan,52293,+41.891974,-086.040589
26,029,Charlevoix,Michigan,25949,+45.247029,-085.115158
26,031,Cheboygan,Michigan,26152,+45.512741,-084.518691
26,033,Chippewa,Michigan,38520,+46.367641,-084.395364
26,035,Clare,Michigan,30926,+43.945731,-084.826409
26,037,Clinton,Michigan,75382,+42.891278,-084.555030
26,039,Crawford,Michigan,14074,+44.655061,-084.666533
26,041,Delta,Michigan,37069,+45.802381,-087.066378
26,043,Dickinson,Michigan,26168,+45.833651,-088.013810
26,045,Eaton,Michigan,107759,+42.643870,-084.740485
26,047,Emmet,Michigan,32694,+45.433951,-084.908934
26,049,Genesee,Michigan,425790,+43.006414,-083.694732
26,051,Gladwin,Michigan,25692,+43.967071,-084.437377
26,053,Gogebic,Michigan,16427,+46.435975,-089.978538
26,055,Grand Traverse,Michigan,86986,+44.710656,-085.607171
26,057,Gratiot,Michigan,42476,+43.343314,-084.629372
26,059,Hillsdale,Michigan,46688,+41.917025,-084.603983
26,061,Houghton,Michigan,36628,+47.127650,-088.541610
26,063,Huron,Michigan,33118,+43.833604,-083.061783
26,065,Ingham,Michigan,280895,+42.688880,-084.487816
26,067,Ionia,Michigan,63905,+42.956879,-085.085925
26,069,Iosco,Michigan,25887,+44.356582,-083.536960
26,071,Iron,Michigan,11817,+46.098021,-088.534279
26,073,Isabella,Michigan,70311,+43.607247,-084.799832
26,075,Jackson,Michigan,160248,+42.241313,-084.406366
26,077,Kalamazoo,Michigan,250331,+42.263480,-085.584896
26,079,Kalkaska,Michigan,17153,+44.720698,-085.166074
26,081,Kent,Michigan,602622,+42.963793,-085.626605
26,083,Keweenaw,Michigan,2156,+47.333639,-088.302470
26,085,Lake,Michigan,11539,+43.959810,-085.798358
26,087,Lapeer,Michigan,88319,+43.059695,-083.250561
26,089,Leelanau,Michigan,21708,+44.909768,-085.732585
26,091,Lenawee,Michigan,99892,+41.925187,-084.052388
26,093,Livingston,Michigan,180967,+42.573054,-083.857596
26,095,Luce,Michigan,6631,+46.334456,-085.550951
26,097,Mackinac,Michigan,11113,+45.997905,-084.879992
26,099,Macomb,Michigan,840978,+42.586890,-082.957388
26,101,Manistee,Michigan,24733,+44.303916,-086.188019
26,103,Marquette,Michigan,67077,+46.486961,-087.494598
26,105,Mason,Michigan,28705,+43.974937,-086.347842
26,107,Mecosta,Michigan,42798,+43.653562,-085.388822
26,109,Menominee,Michigan,24029,+45.341048,-087.582124
26,111,Midland,Michigan,83629,+43.642775,-084.298064
26,113,Missaukee,Michigan,14849,+44.305822,-085.179438
26,115,Monroe,Michigan,152021,+41.900249,-083.485782
26,117,Montcalm,Michigan,63342,+43.288474,-085.180571
26,119,Montmorency,Michigan,9765,+44.999428,-084.123031
26,121,Muskegon,Michigan,172188,+43.244173,-086.215441
26,123,Newaygo,Michigan,48460,+43.466920,-085.809843
26,125,Oakland,Michigan,1202362,+42.587535,-083.310386
26,127,Oceana,Michigan,26570,+43.632703,-086.304176
26,129,Ogemaw,Michigan,21699,+44.287569,-084.123289
26,131,Ontonagon,Michigan,6780,+46.720246,-089.285100
26,133,Osceola,Michigan,23528,+43.965561,-085.351195
26,135,Oscoda,Michigan,8640,+44.696783,-084.147141
26,137,Otsego,Michigan,24164,+45.006777,-084.666879
26,139,Ottawa,Michigan,263801,+42.909362,-086.021326
26,141,Presque Isle,Michigan,13376,+45.356834,-083.873629
26,143,Roscommon,Michigan,24449,+44.364864,-084.649836
26,145,Saginaw,Michigan,200169,+43.398200,-083.993736
26,147,St. Clair,Michigan,163040,+42.911355,-082.564383
26,149,St. Joseph,Michigan,61295,+41.888048,-085.527190
26,151,Sanilac,Michigan,43114,+43.364275,-082.779371
26,153,Schoolcraft,Michigan,8485,+46.004789,-086.227647
26,155,Shiawassee,Michigan,70648,+42.942805,-084.147237
26,157,Tuscola,Michigan,55729,+43.429727,-083.435718
26,159,Van Buren,Michigan,76258,+42.260692,-086.009940
26,161,Washtenaw,Michigan,344791,+42.256943,-083.727147
26,163,Wayne,Michigan,1820584,+42.332610,-083.217933
26,165,Wexford,Michigan,32735,+44.307684,-085.485562
