STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
04,001,Apache,Arizona,71518,+35.577687,-109.414840
04,003,Cochise,Arizona,131346,+31.607357,-110.063053
04,005,Coconino,Arizona,134421,+35.514426,-111.590056
04,007,Gila,Arizona,53597,+33.823560,-111.007494
04,009,Graham,Arizona,37220,+32.867330,-109.812181
04,011,Greenlee,Arizona,8437,+32.970402,-109.248712
04,012,La Paz,Arizona,20489,+33.908361,-114.172146
04,013,Maricopa,Arizona,3817117,+33.493403,-112.041430
04,015,Mohave,Arizona,200186,+35.069679,-114.249634
04,017,Navajo,Arizona,107449,+34.893625,-110.211155
04,019,Pima,Arizona,980263,+32.216707,-110.960010
04,021,Pinal,Arizona,375770,+33.060133,-111.588364
04,023,Santa Cruz,Arizona,47420,+31.434733,-110.943195
04,025,Yavapai,Arizona,211033,+34.629014,-112.267767
04,027,Yuma,Arizona,195751,+32.650040,-114.598663
