STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
13,001,Appling,Georgia,18236,+31.773880,-082.338473
13,003,Atkinson,Georgia,8375,+31.317301,-082.886363
13,005,Bacon,Georgia,11096,+31.547221,-082.466071
13,007,Baker,Georgia,3451,+31.307754,-084.437989
13,009,Baldwin,Georgia,45720,+33.084849,-083.245659
13,011,Banks,Georgia,18395,+34.351255,-083.506647
13,013,Barrow,Georgia,69367,+33.993054,-083.727500
13,015,Bartow,Georgia,100157,+34.208435,-084.829122
13,017,Ben Hill,Georgia,17634,+31.727638,-083.248636
13,019,Berrien,Georgia,19286,+31.238588,-083.252459
13,021,Bibb,Georgia,155547,+32.832049,-083.687184
13,023,Bleckley,Georgia,13063,+32.401368,-083.332140
13,025,Brantley,Georgia,18411,+31.216648,-081.969970
13,027,Brooks,Georgia,16243,+30.842082,-083.540090
13,029,Bryan,Georgia,30233,+31.979537,-081.375954
13,031,Bulloch,Georgia,70217,+32.417702,-081.762420
13,033,Burke,Georgia,23316,+33.101987,-081.998447
13,035,Butts,Georgia,23655,+33.296102,-083.970002
13,037,Calhoun,Georgia,6694,+31.527412,-084.668445
13,039,Camden,Georgia,50513,+30.814165,-081.635079
13,043,Candler,Georgia,10998,+32.399861,-082.062305
13,045,Carroll,Georgia,110527,+33.622193,-085.044673
13,047,Catoosa,Georgia,63942,+34.927795,-085.172820
13,049,Charlton,Georgia,12171,+30.780002,-082.023033
13,051,Chatham,Georgia,265128,+32.036008,-081.126449
13,053,Chattahoochee,Georgia,11267,+32.344231,-084.899254
13,055,Chattooga,Georgia,26015,+34.495509,-085.344167
13,057,Cherokee,Georgia,214346,+34.169606,-084.496595
13,059,Clarke,Georgia,116714,+33.950406,-083.380863
13,061,Clay,Georgia,3183,+31.633549,-085.013368
13,063,Clayton,Georgia,259424,+33.553383,-084.362238
13,065,Clinch,Georgia,6798,+31.017888,-082.740932
13,067,Cobb,Georgia,688078,+33.943254,-084.557878
13,069,Coffee,Georgia,42356,+31.516000,-082.840667
13,071,Colquitt,Georgia,45498,+31.180955,-083.768671
13,073,Columbia,Georgia,124053,+33.516220,-082.165654
13,075,Cook,Georgia,17212,+31.149847,-083.424499
13,077,Coweta,Georgia,127317,+33.379117,-084.736399
13,079,Crawford,Georgia,12630,+32.707681,-083.934002
13,081,Crisp,Georgia,23439,+31.947962,-083.777791
13,083,Dade,Georgia,16633,+34.882709,-085.497004
13,085,Dawson,Georgia,22330,+34.401380,-084.104119
13,087,Decatur,Georgia,27842,+30.888345,-084.570360
13,089,DeKalb,Georgia,691893,+33.789813,-084.248029
13,091,Dodge,Georgia,21796,+32.212815,-083.175591
13,093,Dooly,Georgia,14918,+32.167580,-083.784195
13,095,Dougherty,Georgia,94565,+31.573426,-084.167625
13,097,Douglas,Georgia,132403,+33.724923,-084.734644
13,099,Early,Georgia,11008,+31.331726,-084.916722
13,101,Echols,Georgia,4034,+30.708629,-083.057989
13,103,Effingham,Georgia,52250,+32.291745,-081.299511
13,105,Elbert,Georgia,20166,+34.126521,-082.879523
13,107,Emanuel,Georgia,22598,+32.585860,-082.307952
13,109,Evans,Georgia,11000,+32.169649,-081.907367
13,111,Fannin,Georgia,23682,+34.901383,-084.313402
13,113,Fayette,Georgia,106567,+33.427941,-084.512414
13,115,Floyd,Georgia,96317,+34.255796,-085.183164
13,117,Forsyth,Georgia,175511,+34.194920,-084.144322
13,119,Franklin,Georgia,22084,+34.377335,-083.186079
13,121,Fulton,Georgia,920581,+33.836086,-084.393645
13,123,Gilmer,Georgia,28292,+34.677249,-084.483646
13,125,Glascock,Georgia,3082,+33.235927,-082.609847
13,127,Glynn,Georgia,79626,+31.202698,-081.486488
13,129,Gordon,Georgia,55186,+34.498326,-084.908795
13,131,Grady,Georgia,25011,+30.882764,-084.214288
13,133,Greene,Georgia,15994,+33.549876,-083.166093
13,135,Gwinnett,Georgia,805321,+33.951956,-084.057963
13,137,Habersham,Georgia,43041,+34.565160,-083.541626
13,139,Hall,Georgia,179684,+34.275205,-083.844712
13,141,Hancock,Georgia,9429,+33.255825,-083.002047
13,143,Haralson,Georgia,28780,+33.761920,-085.185470
13,145,Harris,Georgia,32024,+32.699933,-084.895034
13,147,Hart,Georgia,25213,+34.355413,-082.964953
13,149,Heard,Georgia,11834,+33.309334,-085.113400
13,151,Henry,Georgia,203922,+33.475842,-084.175416
13,153,Houston,Georgia,139900,+32.571603,-083.663357
13,155,Irwin,Georgia,9538,+31.604647,-083.280834
13,157,Jackson,Georgia,60485,+34.132059,-083.584805
13,159,Jasper,Georgia,13900,+33.356251,-083.724341
13,161,Jeff Davis,Georgia,15068,+31.848776,-082.600696
13,163,Jefferson,Georgia,16930,+33.063551,-082.407657
13,165,Jenkins,Georgia,8340,+32.794618,-081.950133
13,167,Johnson,Georgia,9980,+32.701199,-082.679535
13,169,Jones,Georgia,28669,+32.962134,-083.545140
13,171,Lamar,Georgia,18317,+33.080020,-084.154400
13,173,Lanier,Georgia,10078,+31.035393,-083.090886
13,175,Laurens,Georgia,48434,+32.516487,-082.926131
13,177,Lee,Georgia,28298,+31.681194,-084.173396
13,179,Liberty,Georgia,63453,+31.827766,-081.578482
13,181,Lincoln,Georgia,7996,+33.781126,-082.446380
13,183,Long,Georgia,14464,+31.778807,-081.733663
13,185,Lowndes,Georgia,109233,+30.857006,-083.280221
13,187,Lumpkin,Georgia,29966,+34.524951,-083.986879
13,189,McDuffie,Georgia,21875,+33.459617,-082.469866
13,191,McIntosh,Georgia,14333,+31.475260,-081.407579
13,193,Macon,Georgia,14740,+32.325042,-084.038814
13,195,Madison,Georgia,28120,+34.104614,-083.240680
13,197,Marion,Georgia,8742,+32.380907,-084.523557
13,199,Meriwether,Georgia,21992,+33.008863,-084.672846
13,201,Miller,Georgia,6125,+31.159722,-084.737198
13,205,Mitchell,Georgia,23498,+31.216853,-084.172094
13,207,Monroe,Georgia,26424,+33.038194,-083.906823
13,209,Montgomery,Georgia,9123,+32.167319,-082.533261
13,211,Morgan,Georgia,17868,+33.600243,-083.485957
13,213,Murray,Georgia,39628,+34.782329,-084.792066
13,215,Muscogee,Georgia,189885,+32.492289,-084.930634
13,217,Newton,Georgia,99958,+33.569520,-083.896609
13,219,Oconee,Georgia,32808,+33.875278,-083.457946
13,221,Oglethorpe,Georgia,14899,+33.916594,-083.144920
13,223,Paulding,Georgia,142324,+33.905688,-084.816609
13,225,Peach,Georgia,27695,+32.584826,-083.829580
13,227,Pickens,Georgia,29431,+34.455892,-084.442301
13,229,Pierce,Georgia,18758,+31.314668,-082.240429
13,231,Pike,Georgia,17869,+33.103227,-084.366796
13,233,Polk,Georgia,41475,+34.010878,-085.176771
13,235,Pulaski,Georgia,12010,+32.275344,-083.480342
13,237,Putnam,Georgia,21218,+33.317059,-083.339663
13,239,Quitman,Georgia,2513,+31.859377,-085.077727
13,241,Rabun,Georgia,16276,+34.879030,-083.407223
13,243,Randolph,Georgia,7719,+31.760403,-084.758026
13,245,Richmond,Georgia,200549,+33.426859,-082.049444
13,247,Rockdale,Georgia,85215,+33.642043,-084.020894
13,249,Schley,Georgia,5010,+32.241549,-084.306781
13,251,Screven,Georgia,14593,+32.722842,-081.627328
13,253,Seminole,Georgia,8729,+30.972496,-084.868027
13,255,Spalding,Georgia,64073,+33.258051,-084.273339
13,257,Stephens,Georgia,26175,+34.556904,-083.288681
13,259,Stewart,Georgia,6058,+32.069335,-084.764519
13,261,Sumter,Georgia,32819,+32.059981,-084.221818
13,263,Talbot,Georgia,6865,+32.703124,-084.582116
13,265,Taliaferro,Georgia,1717,+33.568800,-082.885760
13,267,Tattnall,Georgia,25520,+32.043908,-082.052217
13,269,Taylor,Georgia,8906,+32.560542,-084.215083
13,271,Telfair,Georgia,16500,+32.015620,-082.892471
13,273,Terrell,Georgia,9315,+31.772157,-084.428860
13,275,Thomas,Georgia,44720,+30.868962,-083.948411
13,277,Tift,Georgia,40118,+31.454362,-083.515048
13,279,Toombs,Georgia,27223,+32.183936,-082.367022
13,281,Towns,Georgia,10471,+34.938692,-083.782961
13,283,Treutlen,Georgia,6885,+32.387047,-082.589718
13,285,Troup,Georgia,67044,+33.036737,-085.031746
13,287,Turner,Georgia,8930,+31.700824,-083.636891
13,289,Twiggs,Georgia,9023,+32.703662,-083.416286
13,291,Union,Georgia,21356,+34.874243,-084.002286
13,293,Upson,Georgia,27153,+32.907469,-084.324382
13,295,Walker,Georgia,68756,+34.836540,-085.293376
13,297,Walton,Georgia,83768,+33.795381,-083.784266
13,299,Ware,Georgia,36312,+31.226820,-082.383943
13,301,Warren,Georgia,5834,+33.407596,-082.662844
13,303,Washington,Georgia,21187,+32.962029,-082.773406
13,305,Wayne,Georgia,30099,+31.611857,-081.919105
13,307,Webster,Georgia,2799,+32.049343,-084.560657
13,309,Wheeler,Georgia,7421,+32.146558,-082.751307
13,311,White,Georgia,27144,+34.601048,-083.744309
13,313,Whitfield,Georgia,102599,+34.792742,-084.965686
13,315,Wilcox,Georgia,9255,+31.975167,-083.405657
13,317,Wilkes,Georgia,10593,+33.755364,-082.753524
13,319,Wilkinson,Georgia,9563,+32.844300,-083.239491
13,321,Worth,Georgia,21679,+31.535712,-083.861186
