STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
39,001,Adams,Ohio,28550,+38.848346,-083.517043
39,003,Allen,Ohio,106331,+40.757675,-084.121928
39,005,Ashland,Ohio,53139,+40.855217,-082.285667
39,007,Ashtabula,Ohio,101497,+41.795339,-080.767571
39,009,Athens,Ohio,64757,+39.345128,-082.100240
39,011,Auglaize,Ohio,45949,+40.545245,-084.269481
39,013,Belmont,Ohio,70400,+40.042095,-080.888840
39,015,Brown,Ohio,44846,+38.948158,-083.892944
39,017,Butler,Ohio,368130,+39.410684,-084.500267
39,019,Carroll,Ohio,28836,+40.608318,-081.114892
39,021,Champaign,Ohio,40097,+40.120684,-083.760280
39,023,Clark,Ohio,138333,+39.927147,-083.832287
39,025,Clermont,Ohio,197363,+39.103441,-084.212568
39,027,Clinton,Ohio,42040,+39.410549,-083.842336
39,029,Columbiana,Ohio,107841,+40.777774,-080.730264
39,031,Coshocton,Ohio,36901,+40.290804,-081.865120
39,033,Crawford,Ohio,43784,+40.797377,-082.874776
39,035,Cuyahoga,Ohio,1280122,+41.449624,-081.676037
39,037,Darke,Ohio,52959,+40.115612,-084.608214
39,039,Defiance,Ohio,39037,+41.295398,-084.449086
39,041,Delaware,Ohio,174214,+40.216351,-083.013223
39,043,Erie,Ohio,77079,+41.405481,-082.627891
39,045,Fairfield,Ohio,146156,+39.795111,-082.666944
39,047,Fayette,Ohio,29030,+39.549717,-083.443808
39,049,Franklin,Ohio,1163414,+39.999581,-082.993223
39,051,Fulton,Ohio,42698,+41.578500,-084.094751
39,053,Gallia,Ohio,30934,+38.830629,-082.274096
39,055,Geauga,Ohio,93389,+41.489615,-081.221561
39,057,Greene,Ohio,161573,+39.726404,-083.996686
39,059,Guernsey,Ohio,40087,+40.016788,-081.541827
39,061,Hamilton,Ohio,802374,+39.180332,-084.508590
39,063,Hancock,Ohio,74782,+41.039056,-083.641951
39,065,Hardin,Ohio,32058,+40.689386,-083.675755
39,067,Harrison,Ohio,15864,+40.308636,-081.050672
39,069,Henry,Ohio,28215,+41.358702,-084.076961
39,071,Highland,Ohio,43589,+39.220062,-083.581988
39,073,Hocking,Ohio,29380,+39.522194,-082.446275
39,075,Holmes,Ohio,42366,+40.567391,-081.872764
39,077,Huron,Ohio,59626,+41.175374,-082.614391
39,079,Jackson,Ohio,33225,+39.036265,-082.610661
39,081,Jefferson,Ohio,69709,+40.365108,-080.694228
39,083,Knox,Ohio,60921,+40.399128,-082.454649
39,085,Lake,Ohio,230041,+41.685888,-081.319338
39,087,Lawrence,Ohio,62450,+38.503018,-082.540684
39,089,Licking,Ohio,166492,+40.052710,-082.515759
39,091,Logan,Ohio,45858,+40.383676,-083.779471
39,093,Lorain,Ohio,301356,+41.389870,-082.112376
39,095,Lucas,Ohio,441815,+41.652803,-083.615345
39,097,Madison,Ohio,43435,+39.924376,-083.379953
39,099,Mahoning,Ohio,238823,+41.049535,-080.696308
39,101,Marion,Ohio,66501,+40.582060,-083.129156
39,103,Medina,Ohio,172332,+41.144056,-081.840120
39,105,Meigs,Ohio,23770,+39.060946,-082.013323
39,107,Mercer,Ohio,40814,+40.517287,-084.608376
39,109,Miami,Ohio,102506,+40.046907,-084.234863
39,111,Monroe,Ohio,14642,+39.741292,-081.065210
39,113,Montgomery,Ohio,535153,+39.746151,-084.207549
39,115,Morgan,Ohio,15054,+39.616690,-081.866143
39,117,Morrow,Ohio,34827,+40.518848,-082.795365
39,119,Muskingum,Ohio,86074,+39.961284,-081.996883
39,121,Noble,Ohio,14645,+39.771630,-081.485165
39,123,Ottawa,Ohio,41428,+41.531718,-083.081463
39,125,Paulding,Ohio,19614,+41.132218,-084.584535
39,127,Perry,Ohio,36058,+39.754136,-082.234082
39,129,Pickaway,Ohio,55698,+39.666509,-082.993084
39,131,Pike,Ohio,28709,+39.083994,-083.038173
39,133,Portage,Ohio,161419,+41.179470,-081.273457
39,135,Preble,Ohio,42270,+39.743738,-084.624466
39,137,Putnam,Ohio,34499,+41.008300,-084.118020
39,139,Richland,Ohio,124475,+40.762374,-082.540347
39,141,Ross,Ohio,78064,+39.340682,-083.022104
39,143,Sandusky,Ohio,60944,+41.341058,-083.101952
39,145,Scioto,Ohio,79499,+38.781629,-082.945444
39,147,Seneca,Ohio,56745,+41.127601,-083.201322
39,149,Shelby,Ohio,49423,+40.318869,-084.192139
39,151,Stark,Ohio,375586,+40.837013,-081.387172
39,153,Summit,Ohio,541781,+41.112957,-081.512898
39,155,Trumbull,Ohio,210312,+41.240415,-080.759806
39,157,Tuscarawas,Ohio,92582,+40.479556,-081.465322
39,159,Union,Ohio,52300,+40.252214,-083.350113
39,161,Van Wert,Ohio,28744,+40.856353,-084.565522
39,163,Vinton,Ohio,13435,+39.240104,-082.503644
39,165,Warren,Ohio,212693,+39.424293,-084.245128
39,167,Washington,Ohio,61778,+39.412510,-081.512663
39,169,Wayne,Ohio,114520,+40.838544,-081.864335
39,171,Williams,Ohio,37642,+41.533691,-084.573035
39,173,Wood,Ohio,125488,+41.448280,-083.601066
39,175,Wyandot,Ohio,22615,+40.865953,-083.298153
