STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
55,001,Adams,Wisconsin,20875,+43.944401,-089.782239
55,003,Ashland,Wisconsin,16157,+46.470378,-090.783551
55,005,Barron,Wisconsin,45870,+45.436158,-091.815595
55,007,Bayfield,Wisconsin,15014,+46.588678,-091.102103
55,009,Brown,Wisconsin,248007,+44.497198,-088.031843
55,011,Buffalo,Wisconsin,13587,+44.379071,-091.743927
55,013,Burnett,Wisconsin,15457,+45.833418,-092.413067
55,015,Calumet,Wisconsin,48971,+44.149211,-088.258764
55,017,Chippewa,Wisconsin,62415,+44.986588,-091.327380
55,019,Clark,Wisconsin,34690,+44.784643,-090.547599
55,021,Columbia,Wisconsin,56833,+43.461490,-089.367399
55,023,Crawford,Wisconsin,16644,+43.159807,-091.011263
55,025,Dane,Wisconsin,488073,+43.074343,-089.393883
55,027,Dodge,Wisconsin,88759,+43.434231,-088.712346
55,029,Door,Wisconsin,27785,+44.904102,-087.345365
55,031,Douglas,Wisconsin,44159,+46.633029,-092.017477
55,033,Dunn,Wisconsin,43857,+44.914467,-091.895108
55,035,Eau Claire,Wisconsin,98736,+44.790413,-091.454948
55,037,Florence,Wisconsin,4423,+45.852429,-088.237785
55,039,Fond du Lac,Wisconsin,101633,+43.764930,-088.486885
55,041,Forest,Wisconsin,9304,+45.561305,-088.806904
55,043,Grant,Wisconsin,51208,+42.825290,-090.616057
55,045,Green,Wisconsin,36842,+42.670633,-089.576089
55,047,Green Lake,Wisconsin,19051,+43.844076,-089.013089
55,049,Iowa,Wisconsin,23687,+42.982704,-090.126735
55,051,Iron,Wisconsin,5916,+46.353147,-090.196635
55,053,Jackson,Wisconsin,20449,+44.320474,-090.901558
55,055,Jefferson,Wisconsin,83686,+43.040167,-088.784757
55,057,Juneau,Wisconsin,26664,+43.842134,-090.100354
55,059,Kenosha,Wisconsin,166426,+42.572633,-087.922956
55,061,Kewaunee,Wisconsin,20574,+44.527541,-087.589790
55,063,La Crosse,Wisconsin,114638,+43.858367,-091.208437
55,065,Lafayette,Wisconsin,16836,+42.661836,-090.139042
55,067,Langlade,Wisconsin,19977,+45.184440,-089.105771
55,069,Lincoln,Wisconsin,28743,+45.285493,-089.686664
55,071,Manitowoc,Wisconsin,81442,+44.104426,-087.723854
55,073,Marathon,Wisconsin,134063,+44.908503,-089.710946
55,075,Marinette,Wisconsin,41749,+45.221014,-087.846106
55,077,Marquette,Wisconsin,15404,+43.813741,-089.411070
55,078,Menominee,Wisconsin,4232,+44.913795,-088.641293
55,079,Milwaukee,Wisconsin,947735,+43.032865,-087.959548
55,081,Monroe,Wisconsin,44673,+43.942291,-090.640636
55,083,Oconto,Wisconsin,37660,+44.897900,-088.147837
55,085,Oneida,Wisconsin,35998,+45.708051,-089.490882
55,087,Outagamie,Wisconsin,176695,+44.309508,-088.400738
55,089,Ozaukee,Wisconsin,86395,+43.320380,-087.949891
55,091,Pepin,Wisconsin,7469,+44.590724,-091.989241
55,093,Pierce,Wisconsin,41019,+44.771766,-092.544547
55,095,Polk,Wisconsin,44205,+45.406302,-092.478528
55,097,Portage,Wisconsin,70019,+44.498175,-089.526902
55,099,Price,Wisconsin,14159,+45.724747,-090.398474
55,101,Racine,Wisconsin,195408,+42.734943,-087.926109
55,103,Richland,Wisconsin,18021,+43.350327,-090.390550
55,105,Rock,Wisconsin,160331,+42.651893,-089.037410
55,107,Rusk,Wisconsin,14755,+45.448067,-091.127194
55,109,St. Croix,Wisconsin,84345,+45.018036,-092.579597
55,111,Sauk,Wisconsin,61976,+43.446515,-089.869597
55,113,Sawyer,Wisconsin,16557,+45.936442,-091.346565
55,115,Shawano,Wisconsin,41949,+44.787648,-088.686230
55,117,Sheboygan,Wisconsin,115507,+43.733217,-087.820251
55,119,Taylor,Wisconsin,20689,+45.173257,-090.412651
55,121,Trempealeau,Wisconsin,28816,+44.292059,-091.360514
55,123,Vernon,Wisconsin,29773,+43.605782,-090.836755
55,125,Vilas,Wisconsin,21430,+45.984593,-089.499417
55,127,Walworth,Wisconsin,102228,+42.664074,-088.540668
55,129,Washburn,Wisconsin,15911,+45.847241,-091.834412
55,131,Washington,Wisconsin,131887,+43.347344,-088.215167
55,133,Waukesha,Wisconsin,389891,+43.034419,-088.236902
55,135,Waupaca,Wisconsin,52410,+44.432371,-088.937106
55,137,Waushara,Wisconsin,24496,+44.101150,-089.225960
55,139,Winnebago,Wisconsin,166994,+44.100643,-088.540068
55,141,Wood,Wisconsin,74749,+44.478782,-089.963901
